date,sku,produit,famille,dlc_jours,demande,production,stock_fin_journee,stock_securite,perte_dlc,rupture
2025-01-19,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,621,581,2105,612,0,False
2025-01-20,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,814,875,2166,612,0,False
2025-01-21,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,959,1030,2130,612,107,False
2025-01-22,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,949,895,2076,612,0,False
2025-01-23,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,700,653,2029,612,0,False
2025-01-24,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,967,953,2015,612,0,False
2025-01-25,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,658,668,2025,612,0,False
2025-01-26,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,620,659,2064,612,0,False
2025-01-27,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1008,1027,2083,612,0,False
2025-01-28,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,890,895,2088,612,0,False
2025-01-29,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,710,725,2103,612,0,False
2025-01-30,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,962,933,2074,612,0,False
2025-01-31,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,775,725,2024,612,0,False
2025-02-01,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,653,622,1993,612,0,False
2025-02-02,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,635,695,2053,612,0,False
2025-02-03,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,975,933,2011,612,0,False
2025-02-04,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,997,1096,2110,612,0,False
2025-02-05,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,875,824,2059,612,0,False
2025-02-06,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,988,1079,1166,612,0,False
2025-02-07,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,827,830,1169,612,0,False
2025-02-08,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,575,637,1231,612,0,False
2025-02-09,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,542,555,1244,612,0,False
2025-02-10,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,884,983,1343,612,0,False
2025-02-11,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,850,867,1360,612,0,False
2025-02-12,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,864,804,1300,612,0,False
2025-02-13,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1112,1225,1413,612,0,False
2025-02-14,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,855,955,1513,612,0,False
2025-02-15,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,517,545,1541,612,0,False
2025-02-16,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,658,654,1537,612,0,False
2025-02-17,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,765,801,1573,612,0,False
2025-02-18,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,757,703,1519,612,0,False
2025-02-19,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,801,845,1563,612,0,False
2025-02-20,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,699,733,1597,612,0,False
2025-02-21,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,867,917,1647,612,0,False
2025-02-22,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,545,602,1704,612,0,False
2025-02-23,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,579,563,1688,612,0,False
2025-02-24,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,884,907,1711,612,0,False
2025-02-25,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,995,934,1650,612,0,False
2025-02-26,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,887,876,1639,612,0,False
2025-02-27,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,941,1002,1700,612,0,False
2025-02-28,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,887,930,1743,612,0,False
2025-03-01,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,910,867,1700,612,0,False
2025-03-02,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,905,834,1629,612,0,False
2025-03-03,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1142,1176,1663,612,0,False
2025-03-04,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1071,1138,1730,612,0,False
2025-03-05,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1348,1328,1710,612,0,False
2025-03-06,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1394,1466,1782,612,0,False
2025-03-07,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1312,1232,1702,612,0,False
2025-03-08,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,782,872,1792,612,0,False
2025-03-09,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,790,868,1870,612,0,False
2025-03-10,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1253,1297,1914,612,0,False
2025-03-11,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1469,1409,1854,612,0,False
2025-03-12,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1091,1209,1972,612,0,False
2025-03-13,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1324,1460,2108,612,0,False
2025-03-14,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1323,1472,2156,612,101,False
2025-03-15,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,869,866,2153,612,0,False
2025-03-16,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,779,803,2177,612,0,False
2025-03-17,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1176,1246,2169,612,78,False
2025-03-18,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1262,1382,2141,612,148,False
2025-03-19,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1081,1146,2107,612,99,False
2025-03-20,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1331,1455,2107,612,124,False
2025-03-21,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1331,1358,2134,612,0,False
2025-03-22,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1018,1099,2111,612,104,False
2025-03-23,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,982,977,2106,612,0,False
2025-03-24,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1182,1198,2122,612,0,False
2025-03-25,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1267,1238,2093,612,0,False
2025-03-26,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1184,1119,2028,612,0,False
2025-03-27,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1420,1525,2133,612,0,False
2025-03-28,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1146,1066,2053,612,0,False
2025-03-29,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,902,927,2078,612,0,False
2025-03-30,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,666,719,2131,612,0,False
2025-03-31,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1285,1295,2141,612,0,False
2025-04-01,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1333,1335,2143,612,0,False
2025-04-02,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1388,1320,2075,612,0,False
2025-04-03,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1524,1603,2154,612,0,False
2025-04-04,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1319,1465,2167,612,133,False
2025-04-05,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,740,717,2144,612,0,False
2025-04-06,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,742,795,1448,612,0,False
2025-04-07,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,914,928,1462,612,0,False
2025-04-08,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,949,966,1479,612,0,False
2025-04-09,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,842,842,1479,612,0,False
2025-04-10,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,738,773,1514,612,0,False
2025-04-11,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1019,1040,1535,612,0,False
2025-04-12,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,503,529,1561,612,0,False
2025-04-13,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,623,576,1514,612,0,False
2025-04-14,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,807,894,1601,612,0,False
2025-04-15,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1035,1047,1613,612,0,False
2025-04-16,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,740,820,1693,612,0,False
2025-04-17,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,899,840,1634,612,0,False
2025-04-18,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,805,877,1706,612,0,False
2025-04-19,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,566,534,1674,612,0,False
2025-04-20,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,671,702,1705,612,0,False
2025-04-21,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,955,932,1682,612,0,False
2025-04-22,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,937,1003,1748,612,0,False
2025-04-23,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,869,864,1743,612,0,False
2025-04-24,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,883,873,1733,612,0,False
2025-04-25,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,849,909,1793,612,0,False
2025-04-26,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,690,649,1752,612,0,False
2025-04-27,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,706,695,1741,612,0,False
2025-04-28,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,874,872,521,612,0,False
2025-04-29,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,844,937,614,612,0,False
2025-04-30,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,808,836,642,612,0,False
2025-05-01,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,685,675,632,612,0,False
2025-05-02,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,826,884,690,612,0,False
2025-05-03,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,560,577,707,612,0,False
2025-05-04,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,610,669,766,612,0,False
2025-05-05,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,937,881,710,612,0,False
2025-05-06,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1016,1077,771,612,0,False
2025-05-07,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,932,873,712,612,0,False
2025-05-08,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,965,1078,825,612,0,False
2025-05-09,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,995,1104,934,612,0,False
2025-05-10,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,577,618,975,612,0,False
2025-05-11,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,462,509,1022,612,0,False
2025-05-12,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1039,1058,82,612,0,True
2025-05-13,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,909,972,145,612,0,True
2025-05-14,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,788,877,234,612,0,False
2025-05-15,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,948,915,201,612,0,False
2025-05-16,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,833,768,136,612,0,True
2025-05-17,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,629,588,95,612,0,True
2025-05-18,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,614,684,165,612,0,True
2025-05-19,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1028,1039,176,612,0,True
2025-05-20,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,977,1013,212,612,0,False
2025-05-21,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1106,1079,185,612,0,False
2025-05-22,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,791,801,195,612,0,False
2025-05-23,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,797,889,287,612,0,False
2025-05-24,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,625,662,324,612,0,False
2025-05-25,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,684,723,363,612,0,False
2025-05-26,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,816,899,446,612,0,False
2025-05-27,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,738,817,525,612,0,False
2025-05-28,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1070,994,449,612,0,False
2025-05-29,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1002,1120,567,612,0,False
2025-05-30,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,828,860,599,612,0,False
2025-05-31,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,606,608,601,612,0,False
2025-06-01,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,706,657,552,612,0,False
2025-06-02,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,879,944,617,612,0,False
2025-06-03,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,884,963,696,612,0,False
2025-06-04,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,766,851,781,612,0,False
2025-06-05,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,864,834,751,612,0,False
2025-06-06,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,717,676,710,612,0,False
2025-06-07,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,710,727,727,612,0,False
2025-06-08,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,703,724,748,612,0,False
2025-06-09,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,887,972,833,612,0,False
2025-06-10,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,948,1006,891,612,0,False
2025-06-11,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1025,971,0,612,0,True
2025-06-12,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,697,702,5,612,0,True
2025-06-13,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1033,1022,0,612,0,True
2025-06-14,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,580,606,26,612,0,True
2025-06-15,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,715,794,105,612,0,True
2025-06-16,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,879,854,80,612,0,True
2025-06-17,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,965,1077,192,612,0,False
2025-06-18,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1000,968,160,612,0,True
2025-06-19,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,911,862,111,612,0,True
2025-06-20,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,957,947,101,612,0,True
2025-06-21,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,817,829,113,612,0,True
2025-06-22,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,730,678,61,612,0,True
2025-06-23,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1040,1015,36,612,0,True
2025-06-24,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,913,906,29,612,0,True
2025-06-25,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1078,1141,92,612,0,True
2025-06-26,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1172,1097,17,612,0,True
2025-06-27,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1263,1395,149,612,0,True
2025-06-28,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,852,911,208,612,0,False
2025-06-29,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,715,688,181,612,0,True
2025-06-30,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1419,1410,172,612,0,True
2025-07-01,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1064,1138,246,612,0,False
2025-07-02,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1218,1339,367,612,0,False
2025-07-03,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,974,1000,393,612,0,False
2025-07-04,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1308,1267,352,612,0,False
2025-07-05,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,546,544,350,612,0,False
2025-07-06,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,676,666,340,612,0,False
2025-07-07,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1019,1119,440,612,0,False
2025-07-08,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1247,1272,465,612,0,False
2025-07-09,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1193,1226,498,612,0,False
2025-07-10,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1048,991,441,612,0,False
2025-07-11,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1317,1307,431,612,0,False
2025-07-12,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,597,667,501,612,0,False
2025-07-13,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,863,835,473,612,0,False
2025-07-14,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1047,997,423,612,0,False
2025-07-15,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1025,1001,399,612,0,False
2025-07-16,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,775,865,489,612,0,False
2025-07-17,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1200,1199,488,612,0,False
2025-07-18,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1140,1108,456,612,0,False
2025-07-19,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,802,845,499,612,0,False
2025-07-20,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,967,944,476,612,0,False
2025-07-21,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1325,1269,420,612,0,False
2025-07-22,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1147,1111,384,612,0,False
2025-07-23,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,745,776,415,612,0,False
2025-07-24,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,958,974,431,612,0,False
2025-07-25,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1146,1066,351,612,0,False
2025-07-26,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,721,762,392,612,0,False
2025-07-27,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,849,882,425,612,0,False
2025-07-28,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,875,968,518,612,0,False
2025-07-29,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,974,1084,628,612,0,False
2025-07-30,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1134,1084,578,612,0,False
2025-07-31,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1124,1201,655,612,0,False
2025-08-01,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1096,1183,742,612,0,False
2025-08-02,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,789,752,705,612,0,False
2025-08-03,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,830,850,725,612,0,False
2025-08-04,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1251,1370,844,612,0,False
2025-08-05,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1080,1075,839,612,0,False
2025-08-06,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1287,1262,814,612,0,False
2025-08-07,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,902,992,904,612,0,False
2025-08-08,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1116,1148,936,612,0,False
2025-08-09,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,697,772,1011,612,0,False
2025-08-10,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,807,796,1000,612,0,False
2025-08-11,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1182,1214,1032,612,0,False
2025-08-12,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1281,1381,1132,612,0,False
2025-08-13,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,969,1036,1199,612,0,False
2025-08-14,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1006,1040,1233,612,0,False
2025-08-15,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1069,1159,1323,612,0,False
2025-08-16,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,859,936,1400,612,0,False
2025-08-17,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,902,857,1355,612,0,False
2025-08-18,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1056,1124,1423,612,0,False
2025-08-19,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1302,1339,1460,612,0,False
2025-08-20,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1252,1238,1446,612,0,False
2025-08-21,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1140,1140,1446,612,0,False
2025-08-22,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1229,1364,1581,612,0,False
2025-08-23,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,799,833,1615,612,0,False
2025-08-24,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1030,1127,1712,612,0,False
2025-08-25,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1357,1499,1854,612,0,False
2025-08-26,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1197,1138,1795,612,0,False
2025-08-27,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,938,1001,1858,612,0,False
2025-08-28,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1372,1516,2002,612,0,False
2025-08-29,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1167,1167,2002,612,0,False
2025-08-30,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,666,657,1993,612,0,False
2025-08-31,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,691,763,2065,612,0,False
2025-09-01,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,646,639,2058,612,0,False
2025-09-02,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,734,742,2066,612,0,False
2025-09-03,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,868,829,2027,612,0,False
2025-09-04,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,982,975,2020,612,0,False
2025-09-05,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,879,920,986,612,0,False
2025-09-06,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,607,569,948,612,0,False
2025-09-07,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,544,555,959,612,0,False
2025-09-08,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,898,864,925,612,0,False
2025-09-09,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,894,859,890,612,0,False
2025-09-10,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,894,923,919,612,0,False
2025-09-11,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,839,902,982,612,0,False
2025-09-12,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,612,612,982,612,0,False
2025-09-13,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,711,676,947,612,0,False
2025-09-14,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,522,547,972,612,0,False
2025-09-15,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,814,753,911,612,0,False
2025-09-16,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,999,924,836,612,0,False
2025-09-17,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1035,1000,801,612,0,False
2025-09-18,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,842,885,844,612,0,False
2025-09-19,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,952,895,787,612,0,False
2025-09-20,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,683,742,846,612,0,False
2025-09-21,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,663,699,882,612,0,False
2025-09-22,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,963,888,807,612,0,False
2025-09-23,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,866,833,774,612,0,False
2025-09-24,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,935,939,778,612,0,False
2025-09-25,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,765,829,842,612,0,False
2025-09-26,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,824,855,873,612,0,False
2025-09-27,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,524,547,896,612,0,False
2025-09-28,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,473,463,886,612,0,False
